country,Count
"United States",123443
"United Kingdom",114
India,110
Canada,96
Nigeria,81
Pakistan,64
"South Africa",60
Switzerland,52
Brazil,40
Germany,40
Italy,39
France,34
"Puerto Rico",34
Kenya,31
Australia,30
Mexico,28
Spain,28
Austria,25
Belgium,25
Thailand,25
Indonesia,24
Bangladesh,23
Netherlands,23
Philippines,23
Argentina,22
Uganda,22
Ghana,21
"Russian Federation",21
Colombia,20
Cameroon,19
Peru,19
Romania,19
"Iran (Islamic Republic of)",17
Nepal,17
Japan,16
Lebanon,16
Serbia,16
"U.S. Virgin Islands",16
Afghanistan,15
Bolivia,15
Hungary,14
Senegal,14
Bulgaria,13
Cambodia,13
Egypt,13
Georgia,13
Ireland,13
Greece,12
Sweden,12
"Tanzania (United Republic of)",12
,11
Croatia,11
Ecuador,11
Kyrgyzstan,11
Norway,11
Albania,10
Congo,10
Malaysia,10
Turkey,10
Zimbabwe,10
"Bosnia and Herzegovina",9
Iraq,9
Kazakhstan,9
Palestine,9
China,8
"Hong Kong",8
Lithuania,8
Malawi,8
Poland,8
"Sierra Leone",8
Ukraine,8
Uruguay,8
Zambia,8
Burundi,7
Liberia,7
"Republic of Moldova",7
Singapore,7
"Viet Nam",7
"Czech Republic",6
Denmark,6
Jordan,6
"Lao Peop. Dem. Rep.",6
Montenegro,6
"New Zealand",6
Portugal,6
Slovenia,6
"Sri Lanka",6
"The form. Yug.  Rep. of Macedonia",6
Uzbekistan,6
Algeria,5
Barbados,5
Belarus,5
"El Salvador",5
Ethiopia,5
Finland,5
Gambia,5
Israel,5
Morocco,5
"Saudi Arabia",5
Venezuela,5
Azerbaijan,4
"Costa Rica",4
Estonia,4
Guam,4
"Libyan Arab Jamahiriya",4
Maldives,4
Mauritius,4
"Northern Mariana Islands",4
Paraguay,4
Somalia,4
Tajikistan,4
"Trinidad and Tobago",4
Benin,3
Chile,3
"C̫te dIvoire",3
"Dominican Republic",3
Guinea,3
Latvia,3
Malta,3
Mongolia,3
Namibia,3
Nicaragua,3
Qatar,3
"Republic of Korea",3
Rwanda,3
"Saint Lucia",3
Slovakia,3
Sudan,3
Togo,3
Tunisia,3
Armenia,2
Bahrain,2
"Burkina Faso",2
"Cape Verde",2
Djibouti,2
Honduras,2
Kuwait,2
Lesotho,2
"Macao SAR of China",2
Mauritania,2
Niger,2
"Papua New Guinea",2
Samoa,2
Seychelles,2
"Taiwan, Province of",2
"Timor-Leste",2
"United Arab Emirates",2
Yemen,2
"American Samoa",1
Aruba,1
Bahamas,1
Bermuda,1
Bhutan,1
"British Virgin Islands",1
"Central African Republic",1
Comoros,1
Cyprus,1
Gabon,1
Guatemala,1
Haiti,1
Iceland,1
Jamaica,1
Luxembourg,1
Madagascar,1
Mali,1
"Marshall Islands",1
Moldova,1
Mozambique,1
Myanmar,1
Panama,1
"Saint Vincent and the Grenadines",1
"Slovak Republic (use SLO)",1
Suriname,1
"Syrian Arab Republic",1
